205000	2007	Лада	2111	 бензин, 1600 куб.см	 механика	 передний	 40000	 левый	 ХТС. Комплектация "люкс": передние электростеклоподъемники, климатконтроль, иммобилайзер, центральный замок, атермальные стекла, велюр, бортовой компьютер, противотуманки, спойлер задка с стоп-сигналом, подогрев передних сидений,  подогрев заднего стекла,  подушка водителя, задние подголовники, цвет "металлик". Руль регулируется по высоте. Кузов обработан TectylZinc. Защита картера двигателя, проставки под задними амортизаторами, подкрылки. 8- клапанный двигатель с отличной тягой на низах. Всесезонка Bridgestone на литых дисках 14". Сигнализация с обратной связью. Один хозяин. Сервисная книжка. Все родное. Бережная эксплуатация. Небольшой торг.	 Новосибирск	11434820	15-07-2013	
117000	2002	Лада	2111	 бензин	 механика	 передний	null	 левый	 2002г. в. Цвет фиолетовый металлик(магия) Двигатель v- 1500 (8клап. ) Коробка новая. Поменяны: сцепление,  термостат,  вся тормозная система. Эл. стеклопод. сигналка. музыка. Хороший, живой авто.   Срочно! ! !	 Новосибирск	11574085	15-07-2013	
175000	2005	Лада	2111	 бензин, 1600 куб.см	 механика	 передний	 160000	 левый	 ОТС,  не бит не крашен 100%. Поменяны все жидкости,  фильтра,  передние стойки. Двигатель 1, 6 16кл,  клапана не гнёт. Сигнализация с а/з и о/с, бортовой компьютер. ТОРГ!!! СРОЧНО!!!	 Новосибирск	11570636	15-07-2013	
125000	2001	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	null	 левый	 8 Клапанная, поменял: рейку /подшипники: стойки передние, рулевые наконечники, колодки барабаны, новые привода, (сигнализация,  Салон чистый ухоженный,  подогрев двигателя 220v. Магнитола Pioneer,  блины Pioneer,  буфер Sypra!  Торг!   машина находится в г. Чулым	 Новосибирск	11304493	14-07-2013	
90000	1999	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 234000	 левый	 Машина в хорошем техническом состоянии. 5 лет в одних руках. Есть музыка SONY, сигналка с автозапуском и обратной связью, литьё, в придачу отдам зимнюю резину, пылесос, компрессор, зарядное устройство автопрофи мощная и дорогая, все ключи для ремонта и т. д. Ухоженный салон. Продаю срочно в связи с отъездом. Срочно! ! ! торг! ! ! Инжектор! ! !	 Новосибирск	11557773	14-07-2013	
155000	2002	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 126000	 левый	 Продам ВАЗ- 21110 в хорошем состоянии. Кузов ровный,  коробка включается мягко,  передачи не вылетают,  инжектор,  8 клапанов,  масло не хавает. Сигнализация с обратной связью и автозапуском,  салон чистый,  чехлы,  МР3 плеер с USB,  электростеклоподъемники,  багажник - эл. кнопка. Отдам зимнюю резину на дисках. Обмен не интересен.Техосмотр до 01.07.2014г	 Новосибирск	11359770	13-07-2013	
164000	2004	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 78000	 левый	null	 Новосибирск	11548332	12-07-2013	
195000	2007	Лада	2111	 бензин	 механика	null	null	 левый	 продам "чемодан" )) передние стеклоподъемники,  регулировка руля в 2х положениях,  хитрая сигналка с ОС и доп блокировкой руля от угона; салон светлый не прокуренный,  уместный торг у авто БЕЗ ОБМЕНА	 Новосибирск	11546820	12-07-2013	
133000	2002	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	null	 левый	 продам ВАЗ 21110. 2002г. в. комплектация ЛЮКС! ПЭП,  сигнализация с ОЗ и А. З. Родная 63 ПТС. По кузову в отличном состоянии: в родной краске,  в ДТП не участвовала (даже в мелких),  коррозии и рыжиков нет! Есть небольшие косяки на заднем бампере (на фото видно),  не без этого- универсал! ) Двигатель 8 клапанов, масло не ест. Ходовая перебиралась полностью,  весной,  не брякает,  не стучит,  идет мягко! Салон в неплохом состоянии,  но желательно почистить. Стоит простая музыка Kenwood (касетник) но с адаптером играет неплохо! Торг. Обмен.	 Новосибирск	11390765	11-07-2013	
105000	2002	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 139000	 левый	 Двигатель 2112 1, 5л 16v, все стеклоподъёмники, подогрев передних сидений, рейлинги, светодиодная подсветка, зимняя резина, летняя резина хорошая, сигнализация с автозапуском, музыка, днище обработано антикором, салон чистый в хорошем состоянии (не курили, дрова не возили, панель без трещин, всё на своём месте), всё работает, всё включается, всё крутится. Весной был ремонт ходовой (все стойки, опоры, задние пружины, шаровые, рулевые наконечники) и тормозной (диски, барабаны, пару шлангов, задние цилиндры, тросики ручника, колодки, спереди суппорт, замена тормозной жидкости), месяц назад сцепление (поставил Kraft), внутренние гранаты, правая наружная граната, подушки двигателя. Машина ездит каждый день, всё вовремя менялось, владею 3 года (кого интересует 54й ПТС, дубликат, одно дтп в 2012 поцарапали задний бампер, и правое заднее крыло, всё очень хорошо сделано китайцами из ТУН ДЫ). Из минусов: треснут лоб, сломана мухобойка, жизненные косячки по кузову (не без этого), коррозия на задней двери (на фото всё видно), ещё не хватает одного молдинга:). Не перевёртыш, едет ровно, двери все хорошо открываются-закрываются. Цена с учётом косяков. Смотреть на гор.больнице (заельцовский район). Продажа срочная т.к нужна полноприводная машина.	 Новосибирск	11666593	03-08-2013	
