350000	1993	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	 правый	 Полностью подготовленный автомобиль для бездорожья. Механические хабы,  задний редуктор самоблок,  колеса INTERCO SUPER SWAMPER,  лебедка COME UP 6000,  шнорхель (нержавейка),  силовой багажник- рессивер на 18 литров (нержавейка),  два компрессора,  силовые бампера, защита двигателя, сьемный фаркоп,  сучкорезы. Кузов покрыт спецсоставом. НЕ РЖАВЫЙ,  НЕ ГНИЛОЙ. Аккумулятор перенесен в салон (90 ампер часов). Двигатель не дымит,  масло не ест. АКПП работает как часы( швейцарские). Задний ряд сидений убран ( при желании может быть поставлен на место) сделаны скрадки и нишы под все(от инструмента до . . . . . . . ). Про проходимость рассказывать глупо. . . и так все понятно.	 Новосибирск	10963807	03-07-2013	
287000	1997	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	 208000	 правый	 отличный внедорожник. расход не большой. масло от замены до замены. ходовка вся в порядке,  не гремит не скрипит. всё работает кроме кондиционера, надо заправлять , не избовляюсь ,  а продаю . машина стоит этих денег.	 Новосибирск	11499445	10-07-2013	
179000	1992	Suzuki	Escudo	 1600 куб.см	 автомат	 4WD	 200000	 правый	 Продам настоящий рамный внедорожник,  обладающий СУПЕР проходимостью! ! ! Постоянный задний привод,  плюс подключаемый перед. Suzuki Escudo,  1992, пятидверый, 	 Новосибирск	11308562	10-07-2013	
380000	1999	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	null	 правый	 ОТС, есть все.	 Новосибирск	11278895	15-06-2013	
298000	1996	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	 190000	 правый	 отличный рамный внедорожник , состояние хорошее !!!! экономичный ,  гаражное хранение музыка,  сигнализация ,  салон ухоженый,  есть мелкие косячки по кузову, 280 без торга цена до ПЯТНИЦЫ !звоните смотрите не пожелеете!!! за машину не стыдно!	 Новосибирск	11366278	24-06-2013	
180000	1991	Suzuki	Escudo	 бензин, 1600 куб.см	 механика	 4WD	 200000	 правый	 продам эскудо в хорошем техническом состоянии, подвеска полиуретан, топливо бензин- газ(италия) на газу 100км проехать стоит 135р. мосты, раздатка- без нареканий, везде заменено масло- синтетика,  сигнализация.На обмен цена 200 000р.	 Новосибирск	10832075	18-06-2013	
900000	2008	Suzuki	Escudo	 бензин, 2400 куб.см	 автомат	 4WD	 45000	 правый	 Автомобиль под заказ из ЯПОНИИ!	null	8340427	08-07-2013	
220000	1993	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	 правый	null	 Новосибирск	11273084	15-06-2013	
225000	1995	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 208000	 правый	 Продам рамный внедорожник,  ХТС,  сигнализация с обратной связью,  летняя резина грязевики,  зимняя резина кордиант(состояние новой). ТОРГ.	 Новосибирск	11055368	11-06-2013	
540000	2005	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 120000	 правый	 Автомобиль с интегрированной РАМОЙ, в отличном техническом состоянии, бережная эксплуатация , на последнем ТО заменено: масло в двигателе и АКПП. Двигатель масло не расходует, АКПП переключается плавно без рывков, ходовая часть без нареканий. Салон в идеальном состоянии. В РФ с 2009 года, за все время эксплуатации 2 ХОЗЯИНА. 25 ПТС. ГАРАЖНОЕ ХРАНЕНИЕ!СНЯТ С УЧЕТА!	 Новосибирск	11295366	05-07-2013	
