215000	1997	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	 250000	 правый	 25 птс, в РФ с 2004 года. есть коцки небольшие. Сигналка с о/с, автопрогрев, томагавк.Ходовка в полном порядке(стойки меняны полгода назад), движок 7а, один мз самых надежных и неприхотливых. Рассмотрю обмен на универсал 2000-2003 годов. Торг у машины	 Новосибирск	11003536	08-06-2013	
289000	2000	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	null	 правый	 О.Т.С. . Машинка в полном здравии ! В авариях не была.  Капот - плод мечтаний предыдущего хозяина . Двигатель : простой 7А ,  работает ровно и тихо ,  коробка не пинается и не брыкается . Салон чистый не прокуренный не прожженный ,  с приятной цветной подсветкой ног ( отключается ) ,  и багажника.  Есть : Фары Ксенон ,  Красивое Литьё , рэйлинги на крыше ,  сигнализация с автоЗапуском и обратной связью ,  музыка . На Обмен ЦЕНА 300 тыс. .  Находится в районе Метро " ЗАЕЛЬЦОВСКАЯ "  .	 Новосибирск	10984583	07-06-2013	
420000	2003	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	null	 правый	 Авто не конструктор, не распил.	 Новосибирск	10954528	04-06-2013	
255000	1997	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 4WD	null	 правый	 ОТС,  двигатель и АКПП без нареканий,  контрактный задний редуктор осень 2012,  чистый не прокуренный салон,  бережная эксплуатация,  хороший надёжный авто,  торг возле машины.	 Новосибирск	10925050	06-06-2013	
195000	1998	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	null	 правый	 авто в хтс, 25 птс, два комплекта ключей, музыка МР3 USB, сигнализация,  все подушки на месте, литье на летней новой резине, авто масло не ест все фильтра поменяны, движок сухой не дымит, ГРМ поменян, ремень генератора новый и гидроча тоже, новый АКБ, ходовка без нареканий не гремит не стучит, есть недостатки по кузову на фото видно, напоминаю машина не новая!Арки и пороги целые не ржавые.Салон чистый не прокуренный. Эксплуатируеться каждый день.Сел и поехал.На обмен дороже.Торг небольшой на месте.	 Новосибирск	10905458	11-06-2013	
300000	2000	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	 180000	 правый	null	 Новосибирск	10898149	07-06-2013	
295000	2000	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	 196000	 правый	 Интересует быстрая продажа. Ездила женщина (3 хозяин). Двигатель,  коробка,  ходовка в ХТС. Торг при осмотре. Обмен не интересует.	 Новосибирск	10890010	10-06-2013	
225000	1997	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	null	 правый	 Toyota- Caldina 1997 года,  цвет чёрно- серый металлик. 	 Новосибирск	10857337	11-06-2013	
265000	1999	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	null	 правый	 Toyota Caldina 1999 г. в. ХТС. Всё работает! Летняя на 16-ом литье, есть зима на 15-ом литье (+ 15 т.р. к текущей цене), магнитола sd, cd, mp3, cигналка с а/з и о/с, механическая блокировка коробки -"DRAGON"; новые: аккумулятор, главный тормозной цилиндр, тормозные колодки, ГРМ, ролики, свечи, коренной сальник, помпа, ступичные подшипники, шаровые и т.д. Вся проклеена “шумкой”. По кузову косячки. Цена с учётом всех недостатков. Торга минимальный, перекупам не беспокоить, обмена НЕТ!	 Новосибирск	10853971	07-06-2013	
273000	2001	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	 135000	 правый	 Я 3 й хозяин с декабря 2010,  Расходники поменяны,  масла замена регулярно. В манине не курили,  Зимой не подводит,  все морозы. музыка,  сигнализация Томагавк с обраткой,  Литье на 15 резина Dunlop. Звонить в будни после 19. 00	 Новосибирск	10846784	07-06-2013	
